№партии,к стали,с подплавл,в нахлест
п080916,35.0,34.4,32.8
п140916,36.0,35.2,34.8
п080916,34.8,34.0,32.8
п080916,33.6,33.8,32.0
п080916,33.8,32.8,31.2
п080916,30.8,30.4,29.6
п080916,30.4,28.8,29.8
п080916,30.8,30.8,29.6
п080916,29.8,30.4,29.6
п080916,29.8,28.8,28.0
п080916,30.4,30.8,29.8
п021016,30.4,29.8,28.8
п021016,30.3,28.9,29.3
п061016,28.9,27.7,28.2
п061016,28.5,27.4,28.0
п061016,30.4,29.6,30.8
п061016,30.8,29.6,28.8
п061016,29.9,29.8,28.9
п031116,29.0,30.2,30.8
п031116,28.8,29.8,30.4
п031116,28.4,30.5,31.0
п031116,30.2,30.4,30.8
п031116,29.6,28.9,33.8
п031116,29.5,29.8,30.0
п011216,29.3,27.9,28.7
п011216,29.8,28.0,30.4
п011216,29.3,28.5,29.9
п011216,29.9,29.2,29.0
п061216,31.0,30.4,31.8
п011216,29.2,28.8,29.0
п011216,29.0,29.6,29.8
п011216,28.4,27.3,29.2
п010117,28.4,27.5,29.3
п100117,28.2,27.3,29.0
п020117,30,28.6,30.3
п010117,28.3,27.7,28.9
п010117,29,28.5,29.6
п010117,28.8,28,29.1
п010117,28.9,28.4,28.3
п010117,28.7,27.4,29.0
п010117,27.9,27.3,28.5
п010117,28.5,27.6,28.8
п010117,28.9,28.5,29.1
п010217,28.8,27.2,29.2
п010217,28.9,27.3,29.3
п010217,28.4,28.1,30.0
п010217,27.9,27,28.7
п010217,29.1,28.3,28.9
п010217,28.9,28,27.5
п010217,28.5,27.4,28.6
п010217,29.5,28.7,30.0
п010217,28.9,28.8,28.3
п010217,29.8,28.3,30.4
п010217,28.7,28,29.1
п010217,27.9,26.9,27.3
п010217,28.7,28.1,27.5
п110317,28.8,27.7,28.4
п110317,29.4,28.3,29.7
п110317,28.7,28.3,28.9
п130517,29.7,28,28.3
п130517,29.4,28.2,29.1
п060717,28.9,27.5,29.0
п010817,30.4,28.8,29.6
п140817,29.8,28.4,30.0
п060917,31.6,30.9,31.2
п070917,32.9,31.8,32.1
п060917,30.1,29.6,29.8
п070917,29.6,28.3,28.5
п060917,29.2,27.9,28.5
п070917,32,31.2,32.8
п071017,30.9,29.7,31.1
п071017,28.5,26,16.1
п011117,30.4,29.5,19.8
п021117,31.2,29.8,20.0
п011117,29.4,28.8,16.0
п021117,32,29.6,16.9
п011117,28.5,26.4,16.1
п011117,29.1,28,15.2
п021117,30.9,28.9,16.8
п051217,28.4,27.3,28.0
п061217,30,29.1,30.3
п051217,28,27.1,27.6
п061217,30.4,29.1,29.7
п051217,27.9,26.1,25.6
п051217,28.1,25.6,26.1
п061217,30.3,26.9,28.0
п051217,28.4,25.5,28.0
п010118,28.9,28.4,18.4
п010118,28.7,26.9,23.8
п010118,28.8,27.2,24.1
п050118,30.9,28.3,27.0
п090218,31.9,30.7,32.0
п070318,32.1,31.4,32.3
п130418,30.4,28.8,29.6
п130418,31.4,30.7,31.5
п120518,30.8,29.8,30.4
п090718,30.2,28.9,30.6
п040818,29.8,28.3,28.8
п040818,31.8,31,31.6
п150818,29.6,28.8,28.3
п150818,27.7,26.8,27.3
п070918,40,39.3,39.8
п080918,38.7,38.1,38.9
п080918,49.8,49.3,50.0
п080918,40,39.8,40.8
п070918,29,28.1,28.7
п071018,28.5,27.7,28.1
п071018,27.9,27.7,28.2
п071018,28.2,28,28.8
п071018,29.9,28.6,29.7
п071018,27.8,27.5,27.7
п041118,28.2,27.7,28.0
п051118,29.7,29,29.9
п041118,28.5,27.6,28.9
п051118,30,29.1,30.3
п041118,28.4,29.2,30.0
п051118,29.8,29.2,28.3
п011218,28.4,27.5,28.8
п011218,30,29.8,30.3
п011218,28.9,27.6,29.5
п011218,28.7,27.7,28.9
п011218,28.8,28,28.4
п011218,29.7,28.5,30.1
п111218,30.8,29.8,31.0
п111218,30.8,30.1,31.6
п011218,28.9,27.9,28.5
п111218,30.9,29.9,31.2
п011218,28.2,27.1,27.9
п040119(15.01.19),30.3,29.5,30.5
п080319(14.03.19),31.9,31.2,32.4
п070419(08.04.19),29.8,29.4,30.0
п060519(05.05.19),29.1,28.4,28.8
п120519(16.05.19),28.9,28.1,29.3
п120519(29.05.19),29.3,28.6,28.5
п090719(12.07.19),29.5,28.6,30.0
п020819(05.08.19),29.6,29.1,30.0
п020819(29.08.19),30.4,29,29.8
п080919(13.09.19),29.2,28.8,29.9
п090919(13.09.19),31.9,31.1,32.3
п080919(16.09.19),27.9,27.3,28.2
п090919(16.09.19),29.9,29.2,30.4
п080919(17.09.19),28,27.5,28.6
п090919(17.09.19),30.4,29.5,30.8
п080919(30.09.19),27.6,26.8,27.7
п090919(30.09.19),29,27.8,28.8
п071019(04.10.19),28.1,27.2,27.6
п151019(25.10.19),28.8,28,28.4
п071019(28.10.19),28,28.1,28.1
п151019(28.10.19),29.7,29.9,29.9
п061119(08.11.19),29.8,NaN,29.2
п071119(08.11.19),27.9,NaN,28.0
п071119(11.11.19),29.3,NaN,29.5
п061119(11.11.19),27.7,NaN,27.9
п081219(04.12.19),28.6,NaN,28.2
п081219(16.12.19),28.2,NaN,29.0
п101219(16.12.19),29.4,NaN,29.8
п081219(23.12.19),28.7,NaN,27.9
п101219(23.12.19),29.8,NaN,29.3
