№партии,к стали,с подплавл,в нахлест
п060819(30.08.19),33.6,32.2,32.8
п010919(02.09.19),30.4,29.8,30.8
п010919(03.09.19),30.8,29.5,30.4
п010919(23.09.19),32,31.2,32.8
п010919(26.09.19),32.8,32,33.6
п021019(01.10.19),33.6,32.8,34.4
п021019(10.10.19),30.8,30,31.8
п021019(21.10.19),32,31,31.8
п021019(22.10.19),32.8,31.4,32
п021019(23.10.19),33,32.8,33.3
п021019(30.10.19),30.4,29.2,30.8
п021119(05.11.19),29.8,NaN,30.2
п021119(12.11.19),32,NaN,32.8
п021119(13.11.19),32.8,NaN,33.6
п021119(15.11.19),31.2,NaN,32
п021119(18.11.19),32,NaN,32.8
п031219(03.12.19),32.3,NaN,32.8
п031219(05.12.19),34,NaN,33.3
п031219(18.12.19),32.9,NaN,33.1
