+----------------+-------------------------+-----------+--------------+-------------+
|   ЛИТКОР-З_газ | №партии                 |   к стали |   с подплавл |   в нахлест |
|            157 | п070914                 |      27.2 |         26.7 |        25.2 |
|            158 | п011014                 |      28.1 |         27.4 |        26.1 |
|            159 | п011014                 |      27.6 |         25.9 |        23.7 |
|            160 | п011014                 |      26.3 |         25.3 |        23.4 |
|            161 | п131014                 |      28.6 |         27   |        26.5 |
|            162 | п011014                 |      31.6 |         30.2 |        26.2 |
|            163 | п011014                 |      26.5 |         26   |        22.7 |
|            164 | п131014                 |      27.4 |         26.3 |        24.1 |
|            165 | п011014                 |      28   |         27.9 |        24.6 |
|            166 | п131014                 |      28.7 |         26.7 |        26.9 |
|            167 | п031114                 |      26.9 |         26.4 |        23.8 |
|            168 | п101114                 |      27.3 |         27   |        24.5 |
|            169 | п201114                 |      26.7 |         26.3 |        24.2 |
|            170 | п031114                 |      25.1 |         25.3 |        23.8 |
|            171 | п031114                 |      26.3 |         25.7 |        22.8 |
|            172 | п031114                 |      26.5 |         25.4 |        22.3 |
|            173 | п151214                 |      29.4 |         28.9 |        25.1 |
|            174 | п110115                 |      26.8 |         25.9 |        24.5 |
|            175 | п120115                 |      27.4 |         27   |        23.6 |
|            176 | п110115                 |      26.7 |         26.1 |        24.2 |
|            177 | п110115                 |      26.5 |         26   |        22.7 |
|            178 | п120115                 |      28.2 |         27.4 |        25   |
|            179 | п110115                 |      28.3 |         27.6 |        22.7 |
|            180 | п260115                 |      27.1 |         26.6 |        22   |
|            181 | п110115                 |      28.5 |         27.2 |        22.4 |
|            182 | п120115                 |      28.4 |         28.1 |        24.3 |
|            183 | п020215                 |      27.6 |         27.2 |        24.8 |
|            184 | п020215                 |      26.4 |         26.9 |        23.9 |
|            185 | п100215                 |      25.9 |         25.3 |        21.7 |
|            186 | п240215                 |      27.3 |         25.7 |        22.4 |
|            187 | п010315                 |      27.9 |         27.2 |        24.7 |
|            188 | п010315                 |      26.8 |         25.7 |        24.2 |
|            189 | п040415                 |      27.1 |         26.8 |        24.2 |
|            190 | п070415                 |      26.2 |         26   |        24.7 |
|            191 | п070415                 |      27.3 |         27   |        24.2 |
|            192 | п230515                 |      26.4 |         26   |        24.3 |
|            193 | п080615                 |      26.6 |         26.1 |        24.7 |
|            194 | п080615                 |      26.6 |         25.8 |        24.8 |
|            195 | п270715                 |      29.6 |         30.4 |        28.8 |
|            196 | п280815                 |      30.4 |         28.8 |        29.6 |
|            197 | п070815                 |      29.6 |         28   |        28.8 |
|            198 | п070815                 |      28.8 |         27.2 |        26.4 |
|            199 | п070815                 |      29.4 |         27.6 |        28.3 |
|            200 | п070815                 |      29.4 |         28.5 |        30   |
|            201 | п070815                 |      28.8 |         28   |        27.2 |
|            202 | п220815                 |      29.6 |         28.6 |        27.8 |
|            203 | п070815                 |      28.5 |         28.1 |        27.6 |
|            204 | п010915                 |      27.7 |         27.3 |        26.8 |
|            205 | п010915                 |      27.5 |         26.8 |        26.7 |
|            206 | п010915                 |      27.3 |         27.4 |        26.8 |
|            207 | п011015                 |      27.5 |         26.6 |        26.3 |
|            208 | п011015                 |      26.4 |         25.6 |        24.8 |
|            209 | п011015                 |      26.8 |         25.4 |        25.2 |
|            210 | п011015                 |      28.4 |         27.3 |        26.7 |
|            211 | п011015                 |      29.8 |         28.3 |        27   |
|            212 | п011015                 |      30.4 |         27   |        25.6 |
|            213 | п011015                 |      30   |         29.4 |        29.3 |
|            214 | п041115                 |      31.3 |         30   |        29.7 |
|            215 | п041115                 |      31.3 |         28   |        29.7 |
|            216 | п041115                 |      32.4 |         29   |        31.3 |
|            217 | п041115                 |      32.3 |         28   |        30.9 |
|            218 | п041115                 |      31.8 |         29   |        30.8 |
|            219 | п041115                 |      32.4 |         31.5 |        31.3 |
|            220 | п041115                 |      31.7 |         30   |        30.6 |
|            221 | п041115                 |      31.7 |         31.1 |        30.6 |
|            222 | п101115                 |      33.2 |         32.4 |        31   |
|            223 | п041115                 |      32.4 |         31.9 |        30.8 |
|            224 | п101115                 |      33.6 |         31.8 |        31.4 |
